conta_id,cliente_id,tipo_conta,saldo,status
1001,1,Investimentos,11979.34,Ativa
1002,2,Investimentos,40241.52,Inativa
1003,2,Digital,11598.93,Ativa
1004,3,Investimentos,12652.64,Ativa
1005,4,Investimentos,34858.15,Inativa
1006,5,Investimentos,48448.13,Ativa
1007,6,Investimentos,55457.04,Ativa
1008,6,Previdência,91824.35,Ativa
1009,7,Investimentos,23790.02,Ativa
1010,8,Investimentos,27745.38,Ativa
1011,9,Investimentos,12995.52,Ativa
1012,10,Investimentos,113110.81,Ativa
1013,11,Investimentos,25480.23,Inativa
1014,11,Digital,81687.07,Ativa
1015,12,Investimentos,75040.07,Ativa
1016,12,Digital,56452.76,Ativa
1017,13,Investimentos,15373.17,Ativa
1018,14,Investimentos,83381.47,Ativa
1019,15,Investimentos,26551.11,Ativa
1020,15,Previdência,21597.85,Ativa
1021,16,Investimentos,41141.68,Ativa
1022,17,Investimentos,14556.24,Ativa
1023,18,Investimentos,3496.2,Ativa
1024,19,Investimentos,25271.74,Ativa
1025,20,Investimentos,36582.91,Ativa
1026,21,Investimentos,82300.67,Ativa
1027,21,Digital,75155.16,Ativa
1028,22,Investimentos,16964.59,Ativa
1029,22,Digital,84944.12,Ativa
1030,23,Investimentos,15317.29,Ativa
1031,23,Previdência,102164.64,Ativa
1032,24,Investimentos,23666.97,Ativa
1033,25,Investimentos,19971.37,Ativa
1034,26,Investimentos,89699.61,Ativa
1035,26,Previdência,70964.26,Ativa
1036,27,Investimentos,25583.53,Ativa
1037,28,Investimentos,80576.06,Ativa
1038,28,Digital,21349.54,Inativa
1039,29,Investimentos,73288.22,Ativa
1040,30,Investimentos,55708.07,Ativa
1041,30,Previdência,79389.03,Inativa
1042,31,Investimentos,53977.21,Ativa
1043,32,Investimentos,44907.56,Inativa
1044,33,Investimentos,101029.46,Ativa
1045,33,Previdência,9656.43,Ativa
1046,34,Investimentos,69042.26,Ativa
1047,35,Investimentos,16198.1,Ativa
1048,36,Investimentos,10339.55,Ativa
1049,36,Digital,32079.3,Ativa
1050,37,Investimentos,29757.57,Ativa
1051,38,Investimentos,61627.58,Ativa
1052,39,Investimentos,35188.47,Ativa
1053,40,Investimentos,16954.58,Ativa
1054,41,Investimentos,57363.77,Ativa
1055,42,Investimentos,27808.18,Ativa
1056,43,Investimentos,26887.23,Ativa
1057,43,Previdência,39347.12,Ativa
1058,44,Investimentos,39967.42,Ativa
1059,44,Digital,55596.36,Ativa
1060,45,Investimentos,51961.93,Ativa
1061,46,Investimentos,23549.11,Ativa
1062,47,Investimentos,18182.46,Ativa
1063,48,Investimentos,51252.01,Ativa
1064,49,Investimentos,82792.57,Ativa
1065,50,Investimentos,33456.16,Ativa
1066,51,Investimentos,58371.99,Ativa
1067,51,Digital,68095.73,Ativa
1068,52,Investimentos,59195.18,Ativa
1069,53,Investimentos,88323.0,Ativa
1070,54,Investimentos,39321.12,Ativa
1071,54,Previdência,95353.73,Ativa
1072,55,Investimentos,61577.58,Ativa
1073,56,Investimentos,45857.21,Ativa
1074,57,Investimentos,40080.55,Ativa
1075,58,Investimentos,53626.38,Ativa
1076,58,Previdência,52634.27,Ativa
1077,59,Investimentos,26809.86,Ativa
1078,59,Previdência,83935.85,Ativa
1079,60,Investimentos,33389.93,Ativa
1080,60,Digital,12275.39,Ativa
